State,Year,commodity,total_production
VERMONT,1940,Milk,1423000000.0
VIRGINIA,1940,Milk,1512000000.0
WASHINGTON,1940,Milk,1964000000.0
WEST VIRGINIA,1940,Milk,775000000.0
WISCONSIN,1940,Milk,12665000000.0
WYOMING,1940,Milk,292000000.0
ALABAMA,1941,Milk,1219000000.0
ARIZONA,1941,Milk,241000000.0
ARKANSAS,1941,Milk,1453000000.0
CALIFORNIA,1941,Milk,5091000000.0
COLORADO,1941,Milk,1067000000.0
CONNECTICUT,1941,Milk,684000000.0
DELAWARE,1941,Milk,154000000.0
FLORIDA,1941,Milk,374000000.0
GEORGIA,1941,Milk,1076000000.0
IDAHO,1941,Milk,1324000000.0
ILLINOIS,1941,Milk,5453000000.0
INDIANA,1941,Milk,3435000000.0
IOWA,1941,Milk,6891000000.0
KANSAS,1941,Milk,3172000000.0
KENTUCKY,1941,Milk,1995000000.0
LOUISIANA,1941,Milk,644000000.0
MAINE,1941,Milk,626000000.0
MARYLAND,1941,Milk,960000000.0
MASSACHUSETTS,1941,Milk,818000000.0
MICHIGAN,1941,Milk,5124000000.0
MINNESOTA,1941,Milk,8824000000.0
MISSISSIPPI,1941,Milk,1237000000.0
MISSOURI,1941,Milk,3562000000.0
MONTANA,1941,Milk,733000000.0
NEBRASKA,1941,Milk,2752000000.0
NEVADA,1941,Milk,115000000.0
NEW HAMPSHIRE,1941,Milk,351000000.0
NEW JERSEY,1941,Milk,1018000000.0
NEW MEXICO,1941,Milk,299000000.0
NEW YORK,1941,Milk,7879000000.0
NORTH CAROLINA,1941,Milk,1381000000.0
NORTH DAKOTA,1941,Milk,2238000000.0
OHIO,1941,Milk,4767000000.0
OKLAHOMA,1941,Milk,2582000000.0
OREGON,1941,Milk,1428000000.0
PENNSYLVANIA,1941,Milk,4869000000.0
RHODE ISLAND,1941,Milk,136000000.0
SOUTH CAROLINA,1941,Milk,569000000.0
SOUTH DAKOTA,1941,Milk,1827000000.0
TENNESSEE,1941,Milk,1941000000.0
TEXAS,1941,Milk,4409000000.0
